L,H,E,nu,F,u_max,sigma_vm_max
1.564857045921955958e+00,1.970307177348022964e-01,1.556161048367897339e+11,2.554500314991295373e-01,3.273390364673897693e+03,3.734103175842556102e-05,8.343646964211052982e+05
5.635258273702505871e-01,1.826218567050226227e-01,1.693409599140869141e+11,2.673127846422503340e-01,9.127445262088913296e+02,6.299487462145583194e-07,1.166497114533218119e+05
7.752998433204785211e-01,1.970040769331288799e-01,1.341984899441885681e+11,3.284080948341407957e-01,3.363837539484995887e+03,5.561530059412124635e-06,5.259927556648199679e+05
1.358619724937955908e+00,7.176953819975745441e-02,2.024434234981333008e+11,2.801342632514717823e-01,3.101077471133939980e+03,3.017883184417283269e-04,4.407969656278979033e+06
1.549663916883599057e+00,1.473849732867963391e-01,2.016832173573725891e+11,2.648438989920057773e-01,2.787587323011239278e+03,5.455874142172777933e-05,1.210099425488896435e+06
1.106051586111148843e+00,1.211253094223927324e-01,8.669045366768424988e+10,2.634094609872765225e-01,1.751339956015658117e+03,5.334128404299495188e-05,8.218423307901853696e+05
9.570569056412470132e-01,1.141854820522025110e-01,1.555382565851279602e+11,3.134629117418262778e-01,2.353149034635066073e+03,3.016179040340382446e-05,1.161186767781110946e+06
1.113174664143045778e+00,8.264427900454429654e-02,1.523628747772611694e+11,2.817040911317237883e-01,6.622692542481366900e+02,3.410644432277169926e-05,6.374869281561520183e+05
1.127600066235290521e+00,1.211199012635255645e-01,1.015830015485895386e+11,3.072457933122115792e-01,3.045973551943643997e+03,8.128373350655652019e-05,1.532525967702147551e+06
1.553003271665557072e+00,1.471922723301815061e-01,1.613406279129443970e+11,2.816214151824042999e-01,4.043444998936792217e+03,9.890683397913280065e-05,1.793967000105590327e+06
1.323716575399519257e+00,1.147127292769835327e-01,1.576417473317479858e+11,2.860657334450253941e-01,2.807326600730411883e+03,9.035171883017374596e-05,1.729244592731823912e+06
1.605058532723330433e+00,1.829604330085561892e-01,1.989480076213268433e+11,3.003632925183098989e-01,2.841238016332561074e+03,3.279868295286777498e-05,8.910320319530109409e+05
1.699805616145754650e+00,9.716760376163019464e-02,1.872335307283096008e+11,2.994141646517423094e-01,1.021355259508707718e+03,8.641223821394712894e-05,1.043363026238129009e+06
6.080887206094155450e-01,1.762989816559195067e-01,7.777950836696290588e+10,2.780611436133655912e-01,2.003585182256956159e+03,4.086582437901759430e-06,2.932072961599751143e+05
7.594916677873906341e-01,9.708400547029838457e-02,1.739769593415119934e+11,2.514682843560070991e-01,4.222280410343088988e+03,4.133634703302975283e-05,2.149757896328143310e+06
1.784822035361837145e+00,1.058392359787322379e-01,9.150580586848887634e+10,3.100840407945080757e-01,1.038526501392024556e+03,1.619486270085215482e-04,9.658376809162484715e+05
1.047379041617378714e+00,1.937643771351458821e-01,2.093650261617091980e+11,3.272104891354585265e-01,1.899326794643448011e+03,5.018379846502928399e-06,3.909777963957226020e+05
1.531497573749138752e+00,1.558109548226019325e-01,1.242978373229109650e+11,3.140888634586159189e-01,5.482744023905430595e+02,1.389983689758439916e-05,2.269501426272809040e+05
8.135864879033621877e-01,1.287632454450891861e-01,9.292518259616142273e+10,2.665906867876533526e-01,4.263369307476070389e+03,4.173992324712825868e-05,1.386078034604673740e+06
1.983699504025408178e+00,1.333954142042672597e-01,1.874697623234398804e+11,3.490321664326272444e-01,1.137181498559486045e+03,5.970734030162395289e-05,8.326443119580316124e+05
1.172368419881526513e+00,1.088859073762879909e-01,8.120689971046589661e+10,3.255330172794744237e-01,2.452005622951668556e+03,1.223338688639711365e-04,1.600652466208906611e+06
1.203990401285601974e+00,7.260094607198602779e-02,9.532973131232153320e+10,3.407103622156214540e-01,7.009209003842549919e+02,9.819551555345392270e-05,1.002879658336736029e+06
8.492784274155593671e-01,9.380889954717926138e-02,1.386276559362221069e+11,3.086445173014795706e-01,2.719804891327999485e+03,4.902806171479515867e-05,1.729662753225330962e+06
6.261730018353230953e-01,8.655011810835704089e-02,1.881023738667557678e+11,3.137588700478458614e-01,3.421170725604234576e+03,2.368596448303842555e-05,1.968039955065058777e+06
1.505304883027032359e+00,1.644354528559293649e-01,7.813518744100262451e+10,2.866608384932612386e-01,2.927873458677554027e+03,9.821070161204185792e-05,1.039632549991936889e+06
1.007684724945989041e+00,1.766718309930779829e-01,1.375601512022211609e+11,3.268627589459379146e-01,4.334069825965260861e+03,2.036775391510674548e-05,1.022740431361802854e+06
1.257187224355247102e+00,1.864328365807025323e-01,1.521973516751772766e+11,3.350274298833721409e-01,2.032658580161859163e+03,1.392676494968609332e-05,5.316331109512210824e+05
1.248225437797227944e+00,1.297116561506866661e-01,8.469716022544987488e+10,2.898552506701540521e-01,4.628019526482542460e+03,1.649126473550885841e-04,2.180664479092536960e+06
1.446248360547113698e+00,7.662598736554512846e-02,1.174397889853446960e+11,2.691603009662699719e-01,6.117040930935763754e+02,1.022992930176481812e-04,8.023066956330116373e+05
1.891190687756040045e+00,1.172310992385307421e-01,1.130549101389100647e+11,3.098477191557736377e-01,5.329150533185703580e+02,5.967867371134352191e-05,4.328818068850542768e+05
9.170331599012206958e-01,1.554550198548338980e-01,1.587277682296968079e+11,3.481805947542535584e-01,3.291609693461198276e+03,1.448733381504089531e-05,9.479236987023663241e+05
1.216258810441599225e+00,1.642148844776011862e-01,1.964659020749674072e+11,3.220695946718351577e-01,4.834450505972207793e+03,3.406406375010745852e-05,1.516453574607707327e+06
1.673007756107265820e+00,1.800202157392890023e-01,8.597456996570921326e+10,3.232413502993787269e-01,2.480399147873158654e+03,7.683803597750213106e-05,8.618041351459409343e+05
1.329655703616912765e+00,1.481153614223535420e-01,2.057741163387797241e+11,3.484578081431624064e-01,1.797027104695573598e+03,2.058196856267458438e-05,7.780871338901716517e+05
1.600630246156874215e+00,1.624975306902903260e-01,1.185090005838268280e+11,2.623869774864220905e-01,6.842613212857388589e+02,1.894989081180129513e-05,2.546894635200596240e+05
1.666014691293767891e+00,1.234549612725358986e-01,2.079756237292896729e+11,2.964973456193653045e-01,4.900626405832281307e+03,1.842172343329126678e-04,3.225561624018419068e+06
1.117364003291089869e+00,1.690523225839959121e-01,8.187469812365649414e+10,3.055461710137764020e-01,4.109269041435758481e+03,5.062769336721862934e-05,1.107370568546462106e+06
